date,Battery (Charging) - MW,Pumps - MW,Exports - MW,Imports - MW,Coal (Black) - MW,Bioenergy (Biomass) - MW,Distillate - MW,Gas (CCGT) - MW,Gas (OCGT) - MW,Gas (Waste Coal Mine) - MW,Battery (Discharging) - MW,Hydro - MW,Wind - MW,Solar (Utility) - MW,Solar (Rooftop) - MW,Temperature - C,Exports Emissions Vol - tCO₂e,Imports Emissions Vol - tCO₂e,Coal (Black) Emissions Vol - tCO₂e,Bioenergy (Biomass) Emissions Vol - tCO₂e,Distillate Emissions Vol - tCO₂e,Gas (CCGT) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Gas (Waste Coal Mine) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Price - AUD/MWh
2024-12-11T19:30:00Z,-0.87,0,0,305.8,5169.9,64.9,159.97,983.73,369.82,53.89,55.85,398.31,427.37,6.9,0,24.1,0,17.23,385.2,0.14,14,37.04,19.01,2.75,772.55,186.64
2024-12-11T19:35:00Z,-0.49,0,0,266.4,5207.2,65,160.97,999.68,382.65,54.02,46.14,400.27,434.69,0.2,0,24.07,0,15.28,387.93,0.14,14.08,37.59,19.65,2.76,765.52,200
2024-12-11T19:40:00Z,-0.59,0,0,233.9,5184.17,64.5,159.97,986.21,382.07,55.32,55.8,399.63,440.27,0.2,0,24.03,0,13.59,386.25,0.14,14,37.13,19.63,2.83,758.33,200
2024-12-11T19:45:00Z,-1.04,0,0,251.1,5170.36,63.6,159.97,989.37,382.63,55.72,32.54,398.66,433.32,0.2,0,24,0,14.59,385.24,0.14,14,37.24,19.65,2.85,764.62,174.95
2024-12-11T19:50:00Z,-0.49,0,0,252.2,5172.01,61.3,159.97,990.91,341.48,55.45,41.36,396.29,435.99,0.2,0,23.97,0,14.63,385.34,0.13,14,37.29,17.62,2.83,764.92,177.7
2024-12-11T19:55:00Z,-2.19,0,0,259.7,5156.78,60.5,159.97,985.46,371.49,55.39,2.03,396.28,413.91,0.2,0,23.93,0,15.22,384.23,0.13,14,37.1,19.1,2.83,772.66,177.7
2024-12-11T20:00:00Z,-0.49,0,0,231.2,5180.93,58.2,162.97,991.91,359.1,55.81,11.98,397.45,408.11,0.2,0,23.9,0,13.53,386,0.13,14.26,37.25,18.49,2.85,766.74,207.34
2024-12-11T20:05:00Z,-0.49,0,0,148.7,5174.95,58.5,158.98,982.4,384.02,56.26,56.59,398.94,408,0.2,0,23.88,0,8.72,385.58,0.13,13.91,36.92,19.72,2.88,745.61,177.7
2024-12-11T20:10:00Z,-1.04,0,0,190.1,5063.92,58.8,158.98,978.53,381.31,56.59,39.51,399.71,412.53,0.2,0,23.87,0,11.06,376.84,0.13,13.91,36.78,19.61,2.9,752.09,177.73
2024-12-11T20:15:00Z,-0.49,0,0,278.8,4997.69,61.8,159.97,975.83,386.15,56.86,56.79,394.79,407.23,0.2,0,23.85,0,16.46,371.49,0.14,14,36.67,19.85,2.91,767.27,178.95
